Unicode,Card,Rank
1F0A2,🂢,2
1F0A3,🂣,3
1F0A4,🂤,4
1F0A5,🂥,5
1F0A6,🂦,6
1F0A7,🂧,7
1F0A8,🂨,8
1F0A9,🂩,9
1F0AA,🂪,10
1F0AB,🂫,11
1F0AD,🂭,12
1F0AE,🂮,13
1F0A1,🂡,14
1F0B2,🂲,2
1F0B3,🂳,3
1F0B4,🂴,4
1F0B5,🂵,5
1F0B6,🂶,6
1F0B7,🂷,7
1F0B8,🂸,8
1F0B9,🂹,9
1F0BA,🂺,10
1F0BB,🂻,11
1F0BD,🂽,12
1F0BE,🂾,13
1F0B1,🂱,14
1F0C2,🃂,2
1F0C3,🃃,3
1F0C4,🃄,4
1F0C5,🃅,5
1F0C6,🃆,6
1F0C7,🃇,7
1F0C8,🃈,8
1F0C9,🃉,9
1F0CA,🃊,10
1F0CB,🃋,11
1F0CD,🃍,12
1F0CE,🃎,13
1F0C1,🃁,14
1F0D2,🃒,2
1F0D3,🃓,3
1F0D4,🃔,4
1F0D5,🃕,5
1F0D6,🃖,6
1F0D7,🃗,7
1F0D8,🃘,8
1F0D9,🃙,9
1F0DA,🃚,10
1F0DB,🃛,11
1F0DD,🃝,12
1F0DE,🃞,13
1F0D1,🃑,14